file_id,organism,locus_tag,ess,conf,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.24205199,0.055654928,0.148853459
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.00070470775,0.041540384,0.021122545875
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.25046915,0.2367016,0.243585375
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.003317379,0.00026777497,0.0017925769850000001
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.00026733443,0.09178867,0.046028002215
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.03400317,0.08113233,0.05756775
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.007363486,0.009371588,0.008367537
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.72292894,0.8630978,0.7930133699999999
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.8752042,0.82255334,0.84887877
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.83885235,0.9502063,0.8945293249999999
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.023818176,0.019373627,0.0215959015
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.8502539,0.8895674,0.86991065
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.005182219,0.19501644,0.1000993295
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.16493915,0.045306977,0.1051230635
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.016339332,0.025354363,0.0208468475
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.03296562,0.24966882,0.14131722000000002
